Brewery Name,City,State,Country,Year Established,In Business?,Closed?
Argus Cidery,Austin,Texas,UNITED STATES,2010,Y,N
Armadillo Ale Works,Denton,Texas,UNITED STATES,2010,Y,N
Biergarten,Salem,Massachusetts,UNITED STATES,2010,Y,N
Brewery & Restaurant,Falls Church,Virginia,UNITED STATES,2010,Y,N
Buellton Taproom,Buellton,California,UNITED STATES,2010,Y,N
Bushwhacker Cider - Brooklyn,Portland,Oregon,UNITED STATES,2010,Y,N
Bushwhacker Cider - Woodlawn,Portland,Oregon,UNITED STATES,2010,Y,N
Funky Buddha Brewery,Oakland Park,Florida,UNITED STATES,2010,Y,N
Good Nature Farm Brewery,Hamilton,New York,UNITED STATES,2010,Y,N
Good Nature Tap Room,Hamilton,New York,UNITED STATES,2010,Y,N
Gremps Street Alehouse,Paw Paw,Michigan,UNITED STATES,2010,Y,N
Main Brewery,Norfolk,Virginia,UNITED STATES,2010,Y,N
Main Brewery,Lubbock,Texas,UNITED STATES,2010,Y,N
Main Brewery,Loveland,Colorado,UNITED STATES,2010,Y,N
Main Brewery,Santee,California,UNITED STATES,2010,Y,N
Main Brewery,Grand Rapids,Michigan,UNITED STATES,2010,Y,N
Main Brewery,Arcata,California,UNITED STATES,2010,Y,N
Main Brewery,Grand Haven,Michigan,UNITED STATES,2010,Y,N
Main Brewery,Ridgefield Park,New Jersey,UNITED STATES,2010,Y,N
Main Brewery,Anchorage,Alaska,UNITED STATES,2010,Y,N
Main Brewery,Longview,Washington,UNITED STATES,2010,Y,N
Main Brewery,Marquette,Michigan,UNITED STATES,2010,Y,N
Main Brewery,Orcutt,California,UNITED STATES,2010,Y,N
Main Brewery,Covington,Louisiana,UNITED STATES,2010,Y,N
Main Brewery,Corvallis,Oregon,UNITED STATES,2010,Y,N
Main Brewery,Seattle,Washington,UNITED STATES,2010,Y,N
Main Brewery,Indianapolis,Indiana,UNITED STATES,2010,Y,N
40 North Brewing,Boulder,Colorado,UNITED STATES,2011,Y,N
40 North Brewing,Boulder,Colorado,UNITED STATES,2011,Y,N
Adam's NW Bistro & Brewery,Monroe,Washington,UNITED STATES,2011,Y,N
Brewery and Tasting Room,Doylestown,Pennsylvania,UNITED STATES,2011,Y,N
Burgers and Brews,Sacramento,California,UNITED STATES,2011,Y,N
Bus,Tampa,Florida,UNITED STATES,2011,Y,Y
Bus,Oakland Park,Florida,UNITED STATES,2011,Y,N
Charter Oak Brewing Company,Danbury,Connecticut,UNITED STATES,2011,Y,N
Chetco Brewing Company,Brookings,Oregon,UNITED STATES,2011,Y,N
Erie Brewpub & Pizzeria,Erie,Colorado,UNITED STATES,2011,Y,N
Flix Brewhouse - Albuquerque,Albuquerque,New Mexico,UNITED STATES,2011,Y,N
Flix Brewhouse - Carmel,Carmel,Indiana,UNITED STATES,2011,Y,N
Flix Brewhouse - Des Moines,Des Moines,Iowa,UNITED STATES,2011,Y,N
Flix Brewhouse - Frisco/Little Elm,Frisco,Texas,UNITED STATES,2011,Y,N
Flix Brewhouse - Madison,Madison,Wisconsin,UNITED STATES,2011,Y,N
Flix Brewhouse - Round Rock,Round Rock,Texas,UNITED STATES,2011,Y,N
Grayton Beer Company,Santa Roas Beach,Florida,UNITED STATES,2011,Y,N
Lost Colony Brewery,Manteo,North Carolina,UNITED STATES,2011,Y,N
Main Brewery,Houston,Texas,UNITED STATES,2011,Y,N
Main Brewery,Sawyer,Michigan,UNITED STATES,2011,Y,N
Main Brewery,Westerly,Rhode Island,UNITED STATES,2011,Y,N
Main Brewery,Bend,Oregon,UNITED STATES,2011,N,Y
Main BRewery,Coeur d'Alene,Idaho,UNITED STATES,2011,Y,N
Main Brewery,Portland,Oregon,UNITED STATES,2011,Y,N
Main Brewery,Boulder,Colorado,UNITED STATES,2011,Y,N
Main Brewery,Hendersonville,North Carolina,UNITED STATES,2011,Y,N
Main Brewery,Glenwood,Iowa,UNITED STATES,2011,Y,N
Main Brewery,Nashville,Tennessee,UNITED STATES,2011,Y,N
Main Brewery,Virginia Beach,Virginia,UNITED STATES,2011,Y,N
Main Brewery,Egg Harbor Township,New Jersey,UNITED STATES,2011,Y,N
Main Brewery,Temecula,California,UNITED STATES,2011,Y,N
Main Brewery,Purcellville,Virginia,UNITED STATES,2011,Y,N
Main Brewery,Rollingstone,Minnesota,UNITED STATES,2011,Y,N
Main Brewery,Lincoln,Nebraska,UNITED STATES,2011,Y,N
Main Brewery,Parsonsburg,Maryland,UNITED STATES,2011,Y,N
Main Brewery,Saxapahaw,North Carolina,UNITED STATES,2011,Y,N
Main Brewery,Fayetteville,Arkansas,UNITED STATES,2011,N,Y
Main Brewery,Ann Arbor,Michigan,UNITED STATES,2011,Y,N
Main Brewery,Garden City,Idaho,UNITED STATES,2011,N,Y
Amy Seibel,Vancouver,WA - Washington,UNITED STATES,2012,Y,N
Aslan Brewing Company,Bellingham,Washington,UNITED STATES,2012,Y,N
Belching Beaver Brewery Tavern & Grill,Vista,California,UNITED STATES,2012,Y,N
BlueTarp Brewing Co.,Decatur,Georgia,UNITED STATES,2012,Y,N
Brewery & Tap Room,Kettering,Ohio,UNITED STATES,2012,Y,N
Brewing House,Eugene,Oregon,UNITED STATES,2012,Y,N
Brewpub,Stowe,Vermont,UNITED STATES,2012,Y,N
Cask & Larder,Orlando,Florida,UNITED STATES,2012,Y,N
