Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
Central Standard Brewing,Wichita,Kansas,UNITED STATES,2015,Y,N
Cerebral Brewing,Denver,Colorado,UNITED STATES,2015,Y,N
Huske Hardware House Restaurant and Brewery,Fayetteville,North Carolina,UNITED STATES,2009,Y,N
The Cannon Brewpub,Columbus,Georgia,UNITED STATES,1996,Y,N
Weston Brewing Company,Weston,Missouri,UNITED STATES,2005,Y,N
Twelve Bar Brews,Woodinville,Washington,UNITED STATES,2012,N,Y
51 North Brewing Company,Lake Orion,Michigan,UNITED STATES,2013,N,Y
ZümBier,Waukegan,Illinois,UNITED STATES,2012,Y,N
Stoup Brewing,Seattle,Washington,UNITED STATES,2013,Y,N
Hogs Back Brewery,Tongham,Surrey,UNITED KINGDOM,1992,Y,N
Millersburg Brewing Company,Millersburg,Ohio,UNITED STATES,2013,Y,N
Launch Pad Brewery,Aurora,Colorado,UNITED STATES,2015,Y,N
Wichita Brewing Company,Wichita,Kansas,UNITED STATES,2012,Y,N
Boundary Brewing Co.,Kelowna,British Columbia,CANADA,2015,Y,N
Intrepid Sojourner Beer Project,Denver,Colorado,UNITED STATES,2017,Y,N
Conversion Brewing,Lebanon,Oregon,UNITED STATES,2015,Y,N
Doodle Brewing Company,Liberty,Missouri,UNITED STATES,2008,N,Y
Hyde Park Brewing Company,Hyde Park,New York,UNITED STATES,1995,Y,N
Selin's Grove Brewing Co.,Selinsgrove,Pennsylvania,UNITED STATES,1996,Y,N
Westport Brewing Company,Westport,Washington,UNITED STATES,2011,N,Y
Vereinsbrauerei Apolda,['null'],['null'],['null'],1887,['null'],['null']
Dirty Bucket Brewing Company,Woodinville,Washington,UNITED STATES,2012,Y,N
Red Leg Brewing Company,Colorado Springs,Colorado,UNITED STATES,2013,Y,N
Broken Bow Brewery,Tuckahoe,New York,UNITED STATES,2013,Y,N
Gentle Ben's Brewing Company,Tucson,Arizona,UNITED STATES,1971,Y,N
Ice Harbor Brewing Co,Kennewick,Washington,UNITED STATES,1997,Y,N
The Commons Brewery,Portland,Oregon,UNITED STATES,2011,Y,N
Almanac Beer Co,San Francisco,California,UNITED STATES,2010,Y,N
Bristol Brewing Company,Colorado Springs,Colorado,UNITED STATES,1994,Y,N
Gnarly Barley Brewing,Hammond,Louisiana,UNITED STATES,2011,Y,N
Ferme brasserie Schoune,Saint-Polycarpe,Québec,CANADA,1996,Y,N
OffKilter Brewing Company,Albuquerque,New Mexico,UNITED STATES,2015,Y,N
Pentagonal Brewing Company,Imperial,California,UNITED STATES,2017,Y,N
Casco Bay Brewing Company,Portland,Maine,UNITED STATES,1994,Y,N
Icicle Brewing Company,Leavenworth,Washington,UNITED STATES,2010,Y,N
Seven Barrel Brewery,West Lebanon,New Hampshire,UNITED STATES,1994,N,Y
Weyerbacher Brewing Company,Easton,Pennsylvania,UNITED STATES,1995,Y,N
Aloha Beer Company,Honolulu,Hawaii,UNITED STATES,2012,N,Y
Powell Street Craft Brewery,Vancouver,British Columbia,CANADA,2012,Y,N
Kent Falls Brewing Company,Kent,Connecticut,UNITED STATES,2014,Y,N
Rooster's Brewing Co.,KNARESBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,1993,Y,N
The Quarter Barrel Arcade & Brewery,Cedar Rapids,Iowa,UNITED STATES,2015,Y,N
Castle Danger Brewery,Two Harbors,Minnesota,UNITED STATES,2011,Y,N
Humboldt Brewing Company,Paso Robles,California,UNITED STATES,1987,Y,N
Bull Jagger Brewing Company,Portland,Maine,UNITED STATES,2011,N,Y
Alosta Brewing Co.,Covina,California,UNITED STATES,2013,Y,N
1933 Brewing Company,Fort Collins,Colorado,UNITED STATES,2014,Y,N
Erie Ale Works,Erie,Pennsylvania,UNITED STATES,2011,Y,N
Kitzingen Brewery,Wyoming,Michigan,UNITED STATES,2015,Y,N
Old Town Brewhouse,Lewisville,Texas,UNITED STATES,2017,Y,N
Double Mountain Brewery,Hood River,Oregon,UNITED STATES,2007,Y,N
Neil House Brewery,Columbus,Ohio,UNITED STATES,2009,N,Y
ChuckAlek Independent Brewers,Ramona,California,UNITED STATES,2012,Y,N
The Lone Wolfe Brewing Co.,Wolfeboro,New Hampshire,UNITED STATES,2014,Y,N
Republic Brewing Company,Republic,Washington,UNITED STATES,2011,Y,N
Backside Brewing Co.,Roseburg,Oregon,UNITED STATES,2014,Y,N
Speciation Artisan Ales,Grand Rapids,Michigan,UNITED STATES,2016,Y,N
Santa Fe Brewing Company,Albuquerque,New Mexico,UNITED STATES,1988,Y,N
Catamount Brewing,White River Junction,Vermont,UNITED STATES,1987,N,Y
Hotel Villa Heine,Halberstadt,Sachsen-Anhalt,GERMANY,1999,Y,N
Battered Boar Brewing Company,Edmond,Oklahoma,UNITED STATES,2009,Y,N
Zhiguli Beer Co.,Moscow,['null'],['null'],2010,['null'],['null']
Dragonmead Microbrewery,Warren,Michigan,UNITED STATES,1998,Y,N
Percival Beer Company,Dorchester,Massachusetts,UNITED STATES,2010,Y,N
Kingpin,['null'],['null'],['null'],2014,['null'],['null']
