Brewery Name,City,Country,Year Established,In Business?,Closed?
2,2,2,2,2,2
1,1,1,1,1,1
6,6,6,6,6,6
2,2,2,2,2,2
50,50,50,50,50,50
27,27,27,27,27,27
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
13,13,13,13,13,13
1,1,1,1,1,1
7,7,7,7,7,7
8,8,8,8,8,8
11,11,11,11,11,11
5,5,5,5,5,5
1,1,1,1,1,1
2,2,2,2,2,2
3,3,3,3,3,3
3,3,3,3,3,3
5,5,5,5,5,5
28,28,28,28,28,28
5,5,5,5,5,5
3,3,3,3,3,3
2,2,2,2,2,2
3,3,3,3,3,3
3,3,3,3,3,3
3,3,3,3,3,3
4,4,4,4,4,4
3,3,3,3,3,3
12,12,12,12,12,12
14,14,14,14,14,14
8,8,8,8,8,8
14,14,14,14,14,14
11,11,11,11,11,11
1,1,1,1,1,1
1,1,1,1,1,1
5,5,5,5,5,5
1,1,1,1,1,1
4,4,4,4,4,4
1,1,1,1,1,1
27,27,27,27,27,27
1,1,1,1,1,1
1,1,1,1,1,1
15,15,15,15,15,15
1,1,1,1,1,1
13,13,13,13,13,13
1,1,1,1,1,1
4,4,4,4,4,4
3,3,3,3,3,3
1,1,1,1,1,1
