Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
4 Seasons Brewery,Lapeer,Michigan,UNITED STATES,2014,Y,N
40 North Brewing,Boulder,Colorado,UNITED STATES,2011,Y,N
4KD Crick Brewery,Defiance,Ohio,UNITED STATES,2016,Y,N
7 Mile Brewery,Rio Grande,New Jersey,UNITED STATES,2016,Y,N
810 Meadworks,Medina,New York,UNITED STATES,2014,Y,N
BrewBakers Brewery,Lake Stevens,Washington,UNITED STATES,2014,Y,N
Aberrant Ales,Howell,Michigan,UNITED STATES,2017,Y,N
Able Baker Brewing Company,Henderson,Nevada,UNITED STATES,2016,Y,N
Accomplice Beer Company,Cheyenne,Wyoming,UNITED STATES,2016,Y,N
Twin Peaks Brewing Co.,Addison,Texas,UNITED STATES,2013,Y,N
Adobe Creek Brewing Company,Novato,California,UNITED STATES,2017,Y,N
Adventure Brewing Company,Fredericksburg,Virginia,UNITED STATES,2013,Y,N
Adventure Brewing Company,Fredericksburg,Virginia,UNITED STATES,2013,Y,N
Alaro Craft Brewery,Sacramento,California,UNITED STATES,2018,Y,N
AleCraft Brewery,Bel Air,Maryland,UNITED STATES,2017,Y,N
Altstadt Brewery,Frederikdsburg,Texas,UNITED STATES,2016,Y,N
Ghost Runners Brewery,Vancouver,WA - Washington,UNITED STATES,2012,Y,N
Angry Horse Brewing,Montebello,California,UNITED STATES,2014,Y,N
Angry James Brewery,Silverthorne,Colorado,UNITED STATES,2018,Y,N
AquaBrew,San Marcos,Texas,UNITED STATES,2016,Y,N
Argus Cidery,Austin,Texas,UNITED STATES,2010,Y,N
Armadillo Ale Works,Denton,Texas,UNITED STATES,2010,Y,N
Around the Bend Beer Co.,Chicago,Illinois,UNITED STATES,2014,Y,N
Ashuelot Brewing Company,Richmond,New Hampshire,UNITED STATES,2014,Y,N
Aslan Brewing Company,Bellingham,Washington,UNITED STATES,2012,Y,N
Atwood Ales Farm Brewery,Blaine,Washington,UNITED STATES,2016,Y,N
Twin Peaks Brewing Co.,Austin,Texas,UNITED STATES,2013,Y,N
Axle Brewing Company,Ferndale,Michigan,UNITED STATES,2015,Y,N
Badass Backyard Brewing,"AveCoeur d'Alene,",Idaho,UNITED STATES,2015,Y,N
Baere Brewing Company,Denver,Colorado,UNITED STATES,2014,Y,N
Baffin Brewing Company,St. Clair Shores,Michigan,UNITED STATES,2014,Y,N
Bagby Beer Company,Oceanside,California,UNITED STATES,2014,Y,N
BricktownE Brewing Company,Medford,Oregon,UNITED STATES,2011,Y,N
Beer Army,New Bern,North Carolina,UNITED STATES,2015,N,Y
Belching Beaver Brewery,Vista,California,UNITED STATES,2012,Y,N
Benchmark Brewing Company,San Diego,California,UNITED STATES,2012,Y,N
Beryl's Beer Co.,Denver,Colorado,UNITED STATES,2013,N,Y
Bière de Mac Brew Works,Mackinaw City,Michigan,UNITED STATES,2016,Y,N
Notch Brewery & Tap Room,Salem,Massachusetts,UNITED STATES,2010,Y,N
"Biker Brewhouse, LLC",Youngstown,Ohio,UNITED STATES,2017,Y,N
Bircus,Ludlow,Kentucky,UNITED STATES,2015,Y,N
Back Forty Beer Company,Birmingham,Alabama,UNITED STATES,2009,Y,N
