State,City,2010 POP,Median 2010,2011 POP,Median 2011,2012 POP,Median 2012,2013 POP,Median 2013,2014 POP,Median 2014,2015 POP,Median 2015,2016 POP,Median 2016,2017 POP,Median 2017,Brewery Name,Country,Year Established,Still in Business?,Closed?
Alabama,Birmingham,211739,42081,211516,42934,210660,43160,211094,43253,210998,43511,211621,43623,211263,44758,210710,46472,Back Forty Beer Company,UNITED STATES,2009,Y,N
Alabama,Huntsville,180924,42081,182122,42934,183463,43160,185662,43253,187506,43511,189975,43623,191956,44758,194585,46472,Straight to Ale,UNITED STATES,2009,Y,N
Alabama,Jasper,14386,42081,14292,42934,14169,43160,14083,43253,13975,43511,13869,43623,13768,44758,13618,46472,Twisted Barley Brewing Co,UNITED STATES,2015,Y,N
Alabama,Jasper,14386,42081,14292,42934,14169,43160,14083,43253,13975,43511,13869,43623,13768,44758,13618,46472,Twisted Barley Brewing Co,UNITED STATES,2015,Y,N
Alabama,Mobile,194582,42081,193989,42934,193776,43160,193429,43253,192856,43511,192223,43623,191590,44758,190265,46472,Old Majestic Brewing Co.,UNITED STATES,2019,Y,N
Alabama,Mobile,194582,42081,193989,42934,193776,43160,193429,43253,192856,43511,192223,43623,191590,44758,190265,46472,Old Majestic Brewing Co.,UNITED STATES,2019,Y,N
Arizona,Peoria,154896,50448,155052,50752,155354,50256,156373,49774,157779,49928,160430,50255,164205,51340,168181,53510,Peoria Artisan Brewery,UNITED STATES,2013,Y,N
Arizona,Phoenix,1449039,50448,1467519,50752,1495880,50256,1521182,49774,1547729,49928,1575039,50255,1602042,51340,1626078,53510,Helio Basin Brewing Co,UNITED STATES,2016,Y,N
Arizona,Phoenix,1449039,50448,1467519,50752,1495880,50256,1521182,49774,1547729,49928,1575039,50255,1602042,51340,1626078,53510,Invictus Brewing,UNITED STATES,2013,Y,N
Arizona,Phoenix,1449039,50448,1467519,50752,1495880,50256,1521182,49774,1547729,49928,1575039,50255,1602042,51340,1626078,53510,Helio Basin Brewing Co,UNITED STATES,2016,Y,N
Arizona,Phoenix,1449039,50448,1467519,50752,1495880,50256,1521182,49774,1547729,49928,1575039,50255,1602042,51340,1626078,53510,Invictus Brewing,UNITED STATES,2013,Y,N
Arizona,Queen Creek,26554,50448,26869,50752,27134,50256,28645,49774,30659,49928,32820,50255,35551,51340,39184,53510,Owl's Orchard Brewery,UNITED STATES,2013,N,Y
Arizona,Scottsdale,217550,50448,220383,50752,224587,50256,227993,49774,232683,49928,239649,50255,246204,51340,249950,53510,McFate Brewing Company,UNITED STATES,2012,Y,N
Arizona,Scottsdale,217550,50448,220383,50752,224587,50256,227993,49774,232683,49928,239649,50255,246204,51340,249950,53510,McFate Brewing Company,UNITED STATES,2012,Y,N
Arizona,Tempe,162297,50448,164208,50752,168157,50256,170144,49774,174782,49928,178154,50255,183683,51340,185038,53510,Elevate Your Passion Brewing,UNITED STATES,2017,Y,N
Arizona,Tempe,162297,50448,164208,50752,168157,50256,170144,49774,174782,49928,178154,50255,183683,51340,185038,53510,Sleepy Dog Brewery,UNITED STATES,2009,Y,N
Arizona,Tempe,162297,50448,164208,50752,168157,50256,170144,49774,174782,49928,178154,50255,183683,51340,185038,53510,Elevate Your Passion Brewing,UNITED STATES,2017,Y,N
Arizona,Tempe,162297,50448,164208,50752,168157,50256,170144,49774,174782,49928,178154,50255,183683,51340,185038,53510,Sleepy Dog Brewery,UNITED STATES,2009,Y,N
Arizona,Tombstone,1392,50448,1394,50752,1371,50256,1350,49774,1329,49928,1316,50255,1302,51340,1296,53510,Tombstone Brewing Company,UNITED STATES,2016,Y,N
Arizona,Tombstone,1392,50448,1394,50752,1371,50256,1350,49774,1329,49928,1316,50255,1302,51340,1296,53510,Tombstone Brewing Company,UNITED STATES,2016,Y,N
Arkansas,Fayetteville,73952,39267,75503,40149,76793,40531,78497,40768,80255,41264,82141,41371,83327,42336,85257,43813,Tanglewood Branch Beer Co.,UNITED STATES,2011,N,Y
Arkansas,Fayetteville,73952,39267,75503,40149,76793,40531,78497,40768,80255,41264,82141,41371,83327,42336,85257,43813,Tanglewood Branch Beer Co.,UNITED STATES,2011,N,Y
California,Carlsbad,105936,60883,107799,61632,109394,61400,111154,61094,112148,61489,113250,61818,113920,63783,115330,67169,Burgeon Beer Company,UNITED STATES,2017,Y,N
California,Carlsbad,105936,60883,107799,61632,109394,61400,111154,61094,112148,61489,113250,61818,113920,63783,115330,67169,Culver Beer Company,UNITED STATES,2015,Y,N
California,Carlsbad,105936,60883,107799,61632,109394,61400,111154,61094,112148,61489,113250,61818,113920,63783,115330,67169,Burgeon Beer Company,UNITED STATES,2017,Y,N
California,Carlsbad,105936,60883,107799,61632,109394,61400,111154,61094,112148,61489,113250,61818,113920,63783,115330,67169,Culver Beer Company,UNITED STATES,2015,Y,N
California,Chula Vista,244693,60883,248540,61632,252843,61400,257248,61094,260561,61489,265008,61818,267203,63783,270471,67169,Boochcraft,UNITED STATES,2014,Y,N
California,Chula Vista,244693,60883,248540,61632,252843,61400,257248,61094,260561,61489,265008,61818,267203,63783,270471,67169,Boochcraft,UNITED STATES,2014,Y,N
California,Covina,47804,60883,48022,61632,48322,61400,48484,61094,48705,61489,48756,61818,48611,63783,48462,67169,Alosta Brewing Co.,UNITED STATES,2013,Y,N
California,Covina,47804,60883,48022,61632,48322,61400,48484,61094,48705,61489,48756,61818,48611,63783,48462,67169,Alosta Brewing Co.,UNITED STATES,2013,Y,N
California,Fairfield,105557,60883,106257,61632,107579,61400,109255,61094,110913,61489,112642,61818,114776,63783,116266,67169,Heretic Brewing Company,UNITED STATES,2011,Y,N
California,Fairfield,105557,60883,106257,61632,107579,61400,109255,61094,110913,61489,112642,61818,114776,63783,116266,67169,Heretic Brewing Company,UNITED STATES,2011,Y,N
California,Huntington Beach,191342,60883,193184,61632,194563,61400,197588,61094,200188,61489,201300,61818,201004,63783,201874,67169,Beach City Brewery,UNITED STATES,2014,N,Y
California,Huntington Beach,191342,60883,193184,61632,194563,61400,197588,61094,200188,61489,201300,61818,201004,63783,201874,67169,Beach City Brewery,UNITED STATES,2014,N,Y
California,Imperial,14841,60883,15223,61632,15618,61400,16189,61094,16767,61489,17027,61818,17165,63783,17550,67169,Pentagonal Brewing Company,UNITED STATES,2017,Y,N
California,Imperial,14841,60883,15223,61632,15618,61400,16189,61094,16767,61489,17027,61818,17165,63783,17550,67169,Pentagonal Brewing Company,UNITED STATES,2017,Y,N
California,Lancaster,156854,60883,158230,61632,158576,61400,159457,61094,160128,61489,160378,61818,160289,63783,160316,67169,BrÃ¤very Brewing,UNITED STATES,2011,Y,N
California,Lancaster,156854,60883,158230,61632,158576,61400,159457,61094,160128,61489,160378,61818,160289,63783,160316,67169,BrÃ¤very Brewing,UNITED STATES,2011,Y,N
California,Long Beach,462559,60883,465032,61632,467929,61400,469297,61094,470713,61489,471967,61818,470852,63783,469450,67169,Simmzy's Pub,UNITED STATES,2017,Y,N
California,Long Beach,462559,60883,465032,61632,467929,61400,469297,61094,470713,61489,471967,61818,470852,63783,469450,67169,Simmzy's Pub,UNITED STATES,2017,Y,N
California,Los Angeles,3796060,60883,3824592,61632,3859267,61400,3891783,61094,3922668,61489,3953459,61818,3981116,63783,3999759,67169,Modern Times Beer,UNITED STATES,2012,Y,N
California,Los Angeles,3796060,60883,3824592,61632,3859267,61400,3891783,61094,3922668,61489,3953459,61818,3981116,63783,3999759,67169,Modern Times Beer,UNITED STATES,2012,Y,N
California,Monrovia,36599,60883,36775,61632,36932,61400,37085,61094,37184,61489,37290,61818,37181,63783,37061,67169,Pacific Plate Brewing Company,UNITED STATES,2012,Y,N
California,Monrovia,36599,60883,36775,61632,36932,61400,37085,61094,37184,61489,37290,61818,37181,63783,37061,67169,Pacific Plate Brewing Company,UNITED STATES,2012,Y,N
California,Montclair,36769,60883,37330,61632,37520,61400,38021,61094,38325,61489,38574,61818,38910,63783,39276,67169,Dragon's Tale Brewery,UNITED STATES,2016,Y,N
California,Montclair,36769,60883,37330,61632,37520,61400,38021,61094,38325,61489,38574,61818,38910,63783,39276,67169,Dragon's Tale Brewery,UNITED STATES,2016,Y,N
California,Oakland,391571,60883,396480,61632,401906,61400,407567,61094,413933,61489,418929,61818,421566,63783,425195,67169,Ghost Town Brewing,UNITED STATES,2012,Y,N
California,Oakland,391571,60883,396480,61632,401906,61400,407567,61094,413933,61489,418929,61818,421566,63783,425195,67169,Ghost Town Brewing,UNITED STATES,2012,Y,N
California,Oceanside,167555,60883,169599,61632,171334,61400,172976,61094,174190,61489,175126,61818,175473,63783,176193,67169,Bagby Beer Company,UNITED STATES,2014,Y,N
California,Oceanside,167555,60883,169599,61632,171334,61400,172976,61094,174190,61489,175126,61818,175473,63783,176193,67169,Oceanside Brewing Company,UNITED STATES,2016,Y,N
California,Oceanside,167555,60883,169599,61632,171334,61400,172976,61094,174190,61489,175126,61818,175473,63783,176193,67169,Bagby Beer Company,UNITED STATES,2014,Y,N
California,Oceanside,167555,60883,169599,61632,171334,61400,172976,61094,174190,61489,175126,61818,175473,63783,176193,67169,Oceanside Brewing Company,UNITED STATES,2016,Y,N
California,Pacific Grove,15085,60883,15241,61632,15404,61400,15498,61094,15567,61489,15634,61818,15675,63783,15698,67169,Craft Artisan Ales,UNITED STATES,2013,Y,N
California,Pacific Grove,15085,60883,15241,61632,15404,61400,15498,61094,15567,61489,15634,61818,15675,63783,15698,67169,Craft Artisan Ales,UNITED STATES,2013,Y,N
California,Placentia,51008,60883,51558,61632,51947,61400,52235,61094,52262,61489,52375,61818,52343,63783,52157,67169,Bruery Terreux,UNITED STATES,2015,Y,N
California,Placentia,51008,60883,51558,61632,51947,61400,52235,61094,52262,61489,52375,61818,52343,63783,52157,67169,Bruery Terreux,UNITED STATES,2015,Y,N
California,Rancho Cordova,65080,60883,66007,61632,66803,61400,67823,61094,69513,61489,70756,61818,72273,63783,73563,67169,Claimstake Brewing Company,UNITED STATES,2016,Y,N
California,Rancho Cordova,65080,60883,66007,61632,66803,61400,67823,61094,69513,61489,70756,61818,72273,63783,73563,67169,Claimstake Brewing Company,UNITED STATES,2016,Y,N
California,Rancho Cucamonga,166250,60883,168047,61632,170205,61400,171138,61094,173615,61489,174646,61818,176213,63783,177452,67169,Kings Brewing Company,UNITED STATES,2016,Y,N
California,Rancho Cucamonga,166250,60883,168047,61632,170205,61400,171138,61094,173615,61489,174646,61818,176213,63783,177452,67169,Kings Brewing Company,UNITED STATES,2016,Y,N
California,Redding,89903,60883,90187,61632,90421,61400,90796,61094,91192,61489,91045,61818,91308,63783,91794,67169,Fall River Brewing Company,UNITED STATES,2012,Y,N
California,Redding,89903,60883,90187,61632,90421,61400,90796,61094,91192,61489,91045,61818,91308,63783,91794,67169,Fall River Brewing Company,UNITED STATES,2012,Y,N
California,Redlands,68813,60883,69359,61632,69728,61400,69924,61094,70364,61489,70797,61818,71196,63783,71554,67169,Escape Craft Brewery,UNITED STATES,2014,Y,N
California,Redlands,68813,60883,69359,61632,69728,61400,69924,61094,70364,61489,70797,61818,71196,63783,71554,67169,Escape Craft Brewery,UNITED STATES,2014,Y,N
California,St. Helena,5824,60883,5868,61632,5895,61400,5937,61094,5964,61489,6049,61818,6133,63783,6196,67169,Mad Fritz,UNITED STATES,2014,Y,N
California,St. Helena,5824,60883,5868,61632,5895,61400,5937,61094,5964,61489,6049,61818,6133,63783,6196,67169,Mad Fritz,UNITED STATES,2014,Y,N
California,San Clemente,63603,60883,64302,61632,64727,61400,64989,61094,65123,61489,65340,61818,65411,63783,65267,67169,Lost Winds Brewing Company,UNITED STATES,2016,Y,N
California,San Clemente,63603,60883,64302,61632,64727,61400,64989,61094,65123,61489,65340,61818,65411,63783,65267,67169,Lost Winds Brewing Company,UNITED STATES,2016,Y,N
California,San Jose,955255,60883,971352,61632,985722,61400,1003735,61094,1016708,61489,1027560,61818,1031942,63783,1035317,67169,Clandestine Brewing,UNITED STATES,2012,Y,N
California,San Jose,955255,60883,971352,61632,985722,61400,1003735,61094,1016708,61489,1027560,61818,1031942,63783,1035317,67169,Clandestine Brewing,UNITED STATES,2012,Y,N
California,Santa Clarita,204299,60883,205557,61632,206703,61400,207600,61094,208740,61489,209848,61818,210349,63783,210888,67169,Pocock Brewing Company,UNITED STATES,2013,Y,N
California,Santa Clarita,204299,60883,205557,61632,206703,61400,207600,61094,208740,61489,209848,61818,210349,63783,210888,67169,Pocock Brewing Company,UNITED STATES,2013,Y,N
California,Santa Rosa,168062,60883,169205,61632,170205,61400,171875,61094,173842,61489,174873,61818,175320,63783,175269,67169,Plow Brewing Company,UNITED STATES,2015,Y,N
California,Santa Rosa,168062,60883,169205,61632,170205,61400,171875,61094,173842,61489,174873,61818,175320,63783,175269,67169,Plow Brewing Company,UNITED STATES,2015,Y,N
California,Santee,53647,60883,54566,61632,55475,61400,56267,61094,56970,61489,57635,61818,57876,63783,58113,67169,Finest Made Ales,UNITED STATES,2016,Y,N
California,Santee,53647,60883,54566,61632,55475,61400,56267,61094,56970,61489,57635,61818,57876,63783,58113,67169,Finest Made Ales,UNITED STATES,2016,Y,N
California,Temecula,100755,60883,102746,61632,104470,61400,106289,61094,108926,61489,111418,61818,112673,63783,114327,67169,Garage Brewing Co.,UNITED STATES,2013,Y,N
California,Temecula,100755,60883,102746,61632,104470,61400,106289,61094,108926,61489,111418,61818,112673,63783,114327,67169,Garage Brewing Co.,UNITED STATES,2013,Y,N
California,Torrance,145300,60883,146038,61632,146693,61400,147185,61094,147450,61489,147630,61818,147187,63783,146758,67169,Smog City Brewing,UNITED STATES,2011,Y,N
California,Torrance,145300,60883,146038,61632,146693,61400,147185,61094,147450,61489,147630,61818,147187,63783,146758,67169,Absolution Brewing Company,UNITED STATES,2013,Y,N
California,Torrance,145300,60883,146038,61632,146693,61400,147185,61094,147450,61489,147630,61818,147187,63783,146758,67169,Smog City Brewing,UNITED STATES,2011,Y,N
California,Torrance,145300,60883,146038,61632,146693,61400,147185,61094,147450,61489,147630,61818,147187,63783,146758,67169,Absolution Brewing Company,UNITED STATES,2013,Y,N
California,Tulare,59463,60883,59883,61632,60781,61400,61102,61094,61662,61489,62153,61818,62808,63783,63855,67169,Kaweah Brewing Co.,UNITED STATES,2013,Y,N
California,Tulare,59463,60883,59883,61632,60781,61400,61102,61094,61662,61489,62153,61818,62808,63783,63855,67169,Kaweah Brewing Co.,UNITED STATES,2013,Y,N
California,Turlock,68768,60883,69217,61632,69748,61400,70319,61094,70970,61489,71909,61818,72751,63783,73556,67169,Dust Bowl Brewing Company,UNITED STATES,2009,Y,N
California,Turlock,68768,60883,69217,61632,69748,61400,70319,61094,70970,61489,71909,61818,72751,63783,73556,67169,Dust Bowl Brewing Company,UNITED STATES,2009,Y,N
California,Vista,93734,60883,94756,61632,95798,61400,96731,61094,97562,61489,100236,61818,101420,63783,101568,67169,Belching Beaver Brewery,UNITED STATES,2012,Y,N
California,Vista,93734,60883,94756,61632,95798,61400,96731,61094,97562,61489,100236,61818,101420,63783,101568,67169,Barrel Harbor Brewing,UNITED STATES,2012,Y,N
California,Vista,93734,60883,94756,61632,95798,61400,96731,61094,97562,61489,100236,61818,101420,63783,101568,67169,Belching Beaver Brewery,UNITED STATES,2012,Y,N
California,Vista,93734,60883,94756,61632,95798,61400,96731,61094,97562,61489,100236,61818,101420,63783,101568,67169,Belching Beaver Brewery,UNITED STATES,2012,Y,N
California,Vista,93734,60883,94756,61632,95798,61400,96731,61094,97562,61489,100236,61818,101420,63783,101568,67169,Barrel Harbor Brewing,UNITED STATES,2012,Y,N
California,Vista,93734,60883,94756,61632,95798,61400,96731,61094,97562,61489,100236,61818,101420,63783,101568,67169,Belching Beaver Brewery,UNITED STATES,2012,Y,N
California,Walnut Creek,64338,60883,64880,61632,65630,61400,66933,61094,67635,61489,68853,61818,69332,63783,69773,67169,Calicraft Brewing Co.,UNITED STATES,2012,Y,N
California,Walnut Creek,64338,60883,64880,61632,65630,61400,66933,61094,67635,61489,68853,61818,69332,63783,69773,67169,Calicraft Brewing Co.,UNITED STATES,2012,Y,N
California,Woodland,55547,60883,55744,61632,56281,61400,56732,61094,57376,61489,58404,61818,59102,63783,60012,67169,Black Dragon Brewery,UNITED STATES,2012,N,Y
California,Woodland,55547,60883,55744,61632,56281,61400,56732,61094,57376,61489,58404,61818,59102,63783,60012,67169,Black Dragon Brewery,UNITED STATES,2012,N,Y
Colorado,Arvada,106794,56456,107900,57685,110036,58244,111688,58433,113497,59448,115171,60629,117477,62520,118807,65458,Donavon Brewing Company,UNITED STATES,2017,Y,N
Colorado,Aurora,326027,56456,332144,57685,338436,58244,344522,58433,351594,59448,358666,60629,362036,62520,366623,65458,Ursula Brewery,UNITED STATES,2014,N,Y
Colorado,Aurora,326027,56456,332144,57685,338436,58244,344522,58433,351594,59448,358666,60629,362036,62520,366623,65458,Mu Brewery,UNITED STATES,2014,N,Y
Colorado,Aurora,326027,56456,332144,57685,338436,58244,344522,58433,351594,59448,358666,60629,362036,62520,366623,65458,Launch Pad Brewery,UNITED STATES,2015,Y,N
Colorado,Berthoud,5200,56456,5294,57685,5424,58244,5665,58433,6476,59448,6879,60629,7489,62520,8889,65458,Berthound Brewing Co.,UNITED STATES,2014,Y,N
Colorado,Boulder,98770,56456,101049,57685,102053,58244,103607,58433,105281,59448,107462,60629,107844,62520,107125,65458,40 North Brewing,UNITED STATES,2011,Y,N
Colorado,Boulder,98770,56456,101049,57685,102053,58244,103607,58433,105281,59448,107462,60629,107844,62520,107125,65458,Raices Brewing Co.,UNITED STATES,2016,N,Y
Colorado,Boulder,98770,56456,101049,57685,102053,58244,103607,58433,105281,59448,107462,60629,107844,62520,107125,65458,40 North Brewing,UNITED STATES,2011,Y,N
