,State_x,City_x,2010 POP,Median 2010,2011 POP,Median 2011,2012 POP,Median 2012,2013 POP,Median 2013,2014 POP,Median 2014,2015 POP,Median 2015,2016 POP,Median 2016,2017 POP,Median 2017,Brewery Name,City_y,State_y,Country,Year Established,Still in Business?,Closed?
76086,Washington,Washington,6741386,57244,6819155,58890,6890899,59374,6963410,59478,7046931,60294,7152818,61062,7280934,62848,7405743,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76087,Washington,Aberdeen city,16880,57244,16705,58890,16534,59374,16320,59478,16219,60294,16226,61062,16291,62848,16462,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76088,Washington,Airway Heights city,7561,57244,7734,58890,7779,59374,7848,59478,7937,60294,8053,61062,8102,62848,8166,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76089,Washington,Albion town,585,57244,589,58890,595,59374,595,59478,590,60294,594,61062,603,62848,608,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76090,Washington,Algona city,3036,57244,3068,58890,3111,59374,3133,59478,3155,60294,3169,61062,3192,62848,3185,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76091,Washington,Almira town,284,57244,280,58890,276,59374,273,59478,271,60294,272,61062,272,62848,276,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76092,Washington,Anacortes city,15763,57244,15850,58890,15876,59374,15954,59478,16172,60294,16361,61062,16626,62848,16953,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76093,Washington,Arlington city,17988,57244,18039,58890,18279,59374,18608,59478,18742,60294,18852,61062,19064,62848,19212,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76094,Washington,Asotin city,1251,57244,1265,58890,1264,59374,1277,59478,1281,60294,1278,61062,1287,62848,1295,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76095,Washington,Auburn city,70388,57244,71587,58890,73335,59374,74839,59478,76005,60294,77129,61062,78327,62848,80776,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76096,Washington,Bainbridge Island city,23061,57244,23161,58890,23176,59374,23027,59478,23135,60294,23611,61062,24150,62848,24522,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76097,Washington,Battle Ground city,17834,57244,17971,58890,18074,59374,18331,59478,18920,60294,19296,61062,20043,62848,20576,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76098,Washington,Beaux Arts Village town,300,57244,303,58890,307,59374,317,59478,321,60294,322,61062,324,62848,326,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76099,Washington,Bellevue city,128294,57244,130160,58890,132086,59374,133814,59478,136179,60294,139352,61062,141249,62848,144444,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76100,Washington,Bellingham city,81334,57244,81883,58890,82347,59374,82669,59478,83401,60294,84976,61062,86926,62848,89045,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76101,Washington,Benton City city,3054,57244,3110,58890,3145,59374,3171,59478,3209,60294,3255,61062,3300,62848,3369,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76102,Washington,Bingen city,713,57244,718,58890,721,59374,724,59478,717,60294,719,61062,721,62848,729,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76103,Washington,Black Diamond city,4163,57244,4214,58890,4280,59374,4325,59478,4361,60294,4400,61062,4426,62848,4436,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
