,City,Open,Closed,Total,Rate %,Mean Pop Growth,Mean Inc Growth
0,Denver,26,4,30,13.3,14.48,10.9
1,Portland,15,4,19,21.1,9.36,8.59
2,Grand Rapids,16,0,16,0.0,4.48,5.29
3,Columbus,12,3,15,20.0,9.13,7.25
4,Albuquerque,6,6,12,50.0,1.96,4.46
5,Seattle,10,0,10,0.0,15.24,10.1
6,Salem,10,0,10,0.0,3.45,10.2
7,Poughkeepsie,10,0,10,0.0,-1.6,9.34
8,Charlotte,10,0,10,0.0,13.67,6.32
9,Rochester,9,0,9,0.0,6.53,10.51
10,Norfolk,9,0,9,0.0,0.99,8.01
11,Charlottesville,9,0,9,0.0,8.63,8.01
12,Bend,6,2,8,25.0,17.58,8.59
13,Wichita,8,0,8,0.0,1.93,8.58
14,Saline,8,0,8,0.0,3.86,5.29
15,Holyoke,8,0,8,0.0,1.08,10.2
16,Manchester,8,0,8,0.0,1.07,8.5
17,Bangor,8,0,8,0.0,-3.44,8.59
18,Richmond,7,0,7,0.0,9.99,8.5
19,Fredericksburg,6,0,6,0.0,15.27,8.01
